id,end_time
1,14400
2,14400
3,14400
4,3585
5,3525
6,14400
7,14400
8,14400
9,14400
10,14400
11,9818
12,7216
13,14400
14,14400
15,14400
16,14400
17,14400
18,3636
19,14400
20,8565
21,4057
22,14400
23,14400
24,14400
25,14400
26,14400
27,14400
28,5839
29,2240
30,14400
31,14400
32,9295
33,976
34,14400
35,14400
36,14400
37,14400
38,2643
39,13855
40,4944
41,14400
42,14400
43,14400
44,14400
45,3905
46,14400
47,912
48,2252
49,14400
50,14400
51,14400
52,14400
53,14400
54,14400
55,14400
56,14349
57,14400
58,14400
59,14400
60,9261
61,1531
62,14400
63,6855
64,14400
65,14400
66,14400
67,10037
68,14400
69,9303
70,2281
71,11695
72,14400
73,13998
74,14400
75,14400
76,7816
77,14400
78,7899
79,10397
80,14400
81,14400
82,14400
83,14400
84,14400
85,7299
86,14400
87,14400
88,14400
89,9250
90,14400
91,12314
92,14400
93,3643
94,14400
95,14400
96,14400
97,14400
98,14400
99,13599
100,14400
101,14400
102,7424
103,14400
104,8630
105,8851
106,14400
107,14400
108,7084
109,5091
110,14400
111,4496
112,14400
113,14400
114,14400
115,14400
116,14400
117,14400
118,5099
119,13527
120,14400
121,14400
122,14400
123,14400
124,14400
125,14400
126,14400
127,6955
128,3465
129,14400
130,10685
131,2809
132,14400
133,14400
134,14400
135,7657
136,14400
137,14400
138,11837
139,14400
140,14400
141,14219
142,14400
143,14400
144,14400
145,14400
146,14400
147,5215
148,14400
149,14400
150,7835
151,14400
152,14400
153,14400
154,1765
155,14400
156,14400
157,14400
158,14400
159,12017
160,14400
161,14400
162,14400
163,9789
164,14400
165,14400
166,8776
167,14400
168,14400
169,14400
170,14400
171,518
172,14400
173,14400
174,14400
175,14400
176,14400
177,14400
178,14400
179,8921
180,14400
181,14400
182,14400
183,14400
184,14400
185,1233
186,14400
187,14400
188,14400
189,14400
190,14400
191,9273
192,14400
193,14400
194,14400
195,13773
196,10277
197,14400
198,8782
199,14400
200,14400
201,14400
202,14400
203,6869
204,14400
205,14400
206,14400
207,13657
208,14400
209,14400
210,14400
211,14400
212,6089
213,14400
214,14400
215,14400
216,14400
217,14400
218,14400
219,14400
220,7134
221,14400
222,14400
223,14400
224,4674
225,6393
226,14400
227,14400
228,14400
229,14400
230,14400
231,12743
232,630
233,14400
234,14400
235,14400
236,14400
237,14400
238,14400
239,11378
240,14400
241,14400
242,14400
243,14400
244,14400
245,14400
246,14400
247,14400
248,14400
249,14143
250,8046
251,14400
252,4516
253,14400
254,5214
255,14400
256,14400
257,8681
258,14400
259,6415
260,14400
261,14400
262,14400
263,14400
264,14400
265,14400
266,14400
267,14400
268,11656
269,14400
270,14400
271,4549
272,10155
273,14400
274,8576
275,10555
276,14400
277,14400
278,416
279,14400
280,14400
281,14400
282,14400
283,14400
284,12200
285,14400
286,14400
287,14400
288,14400
289,8518
290,14400
291,14400
292,14400
293,14400
294,14400
295,14400
296,14400
297,14400
298,3279
299,6479
300,1158
301,14400
302,14400
303,14400
304,14400
305,12212
306,14400
307,14400
308,5293
309,14400
310,12295
311,14400
312,14400
313,14400
314,3222
315,14400
316,628
317,5572
318,6109
319,6353
320,2961
321,2030
322,14400
323,14400
324,14400
